Pattern,Jours,Temps max,Souris,Essai,Distance,Issue,Temps
a,2,00:02
 , , ,s0
 , , , ,T00E1,0,1,00:03
 , , , ,T00E1(1),0,1,00:02
 , , , ,T00E2,0.5,0,00:02
 , , , ,T00E2(1),0.0,2,00:04
 , , , ,T01E1,0,1,00:00
 , , , ,T01E2,0.5,1,00:02
 , , ,s1
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,0.5,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,0.5,-1,00:00
 , , ,s2
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,0.5,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,0.5,-1,00:00
 , , ,s3
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,0.5,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,0.5,-1,00:00
