Pattern,Jours,Temps max,Souris,Essai,Distance,Issue,Temps
bonjour,2,00:03
 , , ,s0
 , , , ,T00E1,0,0,00:04
 , , , ,T00E1(1),0,1,00:02
 , , , ,T00E2,2.0,2,00:03
 , , , ,T01E1,0,1,00:02
 , , , ,T01E1(1),0,1,00:01
 , , , ,T01E2,1.0,0,00:03
 , , , ,T01E2(1),0.0,2,00:01
 , , ,s1
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,2.0,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,1.0,-1,00:00
 , , ,s2
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,2.0,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,1.0,-1,00:00
