Pattern,Jours,Temps max,Souris,Essai,Distance,Issue,Temps
entrainement 1,6,05:00
 , , ,s0
 , , , ,T0E1,0,1,00:00
 , , , ,T0E2,4.0,1,00:00
 , , , ,T1E1,0,1,00:00
 , , , ,T1E2,3.0,2,00:00
 , , , ,T2E1,0,1,00:00
 , , , ,T2E2,1.0,2,00:00
 , , ,s1
 , , , ,T0E1,0,1,00:00
 , , , ,T0E2,4.0,1,00:00
 , , , ,T1E1,0,1,00:00
 , , , ,T1E2,3.0,1,00:00
 , , , ,T2E1,0,1,00:00
 , , , ,T2E2,1.0,2,00:00
 , , ,s2
 , , , ,T0E1,0,1,00:00
 , , , ,T0E2,4.0,2,00:00
 , , , ,T1E1,0,1,00:00
 , , , ,T1E2,3.0,2,00:00
 , , , ,T2E1,0,1,00:00
 , , , ,T2E2,1.0,2,00:00
