Pattern,Jours,Temps max,Souris,Essai,Distance,Issue,Temps
exemple,2,05:00
 , , ,s0
 , , , ,T00E1,0,1,00:00
 , , , ,T00E2,3.0,2,00:00
 , , , ,T01E1,0,1,00:00
 , , , ,T01E2,2.0,2,00:00
 , , , ,T02E1,0,1,00:00
 , , , ,T02E2,1.0,1,00:00
 , , ,s1
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,3.0,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,2.0,-1,00:00
 , , , ,T02E1,0,-1,00:00
 , , , ,T02E2,1.0,-1,00:00
 , , ,s2
 , , , ,T00E1,0,-1,00:00
 , , , ,T00E2,3.0,-1,00:00
 , , , ,T01E1,0,-1,00:00
 , , , ,T01E2,2.0,-1,00:00
 , , , ,T02E1,0,-1,00:00
 , , , ,T02E2,1.0,-1,00:00
